,block_id,first_digits,second_digits,third_digits,message,event_type,trans_fail
0,blk_-1608999687919862906,081109,203521,147,INFO,dfs.DataNode$DataTransfer:,Transmitted
1,blk_-1608999687919862906,081109,203526,152,INFO,dfs.DataNode$DataTransfer:,Transmitted
2,blk_-1608999687919862906,081109,203527,148,INFO,dfs.DataNode$DataTransfer:,Transmitted
3,blk_-1608999687919862906,081109,203532,161,INFO,dfs.DataNode$DataTransfer:,Transmitted
4,blk_-8213344449220111733,081109,204522,528,INFO,dfs.DataNode$DataTransfer:,Transmitted
5,blk_-6899869435641005946,081109,204557,537,INFO,dfs.DataNode$DataTransfer:,Transmitted
6,blk_-8191677345482862686,081109,204600,560,INFO,dfs.DataNode$DataTransfer:,Transmitted
7,blk_-919439116365725304,081109,204602,549,INFO,dfs.DataNode$DataTransfer:,Transmitted
8,blk_-7057732666118938934,081109,204618,534,INFO,dfs.DataNode$DataTransfer:,Transmitted
9,blk_349284099419601276,081109,204621,544,INFO,dfs.DataNode$DataTransfer:,Transmitted
10,blk_3557914126063085372,081109,204621,549,INFO,dfs.DataNode$DataTransfer:,Transmitted
11,blk_3584224065406961324,081109,204621,573,INFO,dfs.DataNode$DataTransfer:,Transmitted
12,blk_-6739860488313725269,081109,204625,571,INFO,dfs.DataNode$DataTransfer:,Transmitted
13,blk_-5410886886439711883,081109,204627,552,INFO,dfs.DataNode$DataTransfer:,Transmitted
14,blk_-1597249921068575545,081109,204642,572,INFO,dfs.DataNode$DataTransfer:,Transmitted
15,blk_-4304326910587241051,081109,204643,588,INFO,dfs.DataNode$DataTransfer:,Transmitted
16,blk_216026994465296073,081109,204651,593,INFO,dfs.DataNode$DataTransfer:,Transmitted
17,blk_5836709889176378774,081109,204656,585,INFO,dfs.DataNode$DataTransfer:,Transmitted
18,blk_5647191344005583177,081109,204658,591,INFO,dfs.DataNode$DataTransfer:,Transmitted
19,blk_-1552272238828007233,081109,204700,570,INFO,dfs.DataNode$DataTransfer:,Transmitted
20,blk_-730360888507267446,081109,204709,579,INFO,dfs.DataNode$DataTransfer:,Transmitted
21,blk_7536693147882198965,081109,204736,617,INFO,dfs.DataNode$DataTransfer:,Transmitted
22,blk_3057845822257859655,081109,204737,614,INFO,dfs.DataNode$DataTransfer:,Transmitted
23,blk_-1946694783635652405,081109,204801,624,INFO,dfs.DataNode$DataTransfer:,Transmitted
24,blk_2260576740749849268,081109,204818,662,INFO,dfs.DataNode$DataTransfer:,Transmitted
25,blk_-963887220294303910,081109,204836,711,INFO,dfs.DataNode$DataTransfer:,Transmitted
26,blk_1177055878155131978,081109,204859,642,INFO,dfs.DataNode$DataTransfer:,Transmitted
27,blk_-6978860414285661081,081109,204932,659,INFO,dfs.DataNode$DataTransfer:,Transmitted
28,blk_4624916250773145759,081109,205007,708,INFO,dfs.DataNode$DataTransfer:,Transmitted
29,blk_101531001839995775,081109,205157,757,INFO,dfs.DataNode$DataTransfer:,Transmitted
30,blk_4241467193520768333,081109,205300,769,INFO,dfs.DataNode$DataTransfer:,Transmitted
31,blk_8083837084595537307,081109,205621,944,INFO,dfs.DataNode$DataTransfer:,Transmitted
32,blk_5284512076658274222,081109,205656,984,INFO,dfs.DataNode$DataTransfer:,Transmitted
33,blk_-3810637406843178536,081109,205705,953,INFO,dfs.DataNode$DataTransfer:,Transmitted
34,blk_109564252861405473,081109,205705,987,INFO,dfs.DataNode$DataTransfer:,Transmitted
35,blk_1873255094910695255,081109,205715,1004,INFO,dfs.DataNode$DataTransfer:,Transmitted
36,blk_3534268014746215164,081109,205718,996,INFO,dfs.DataNode$DataTransfer:,Transmitted
37,blk_-7593343514267572796,081109,205725,988,INFO,dfs.DataNode$DataTransfer:,Transmitted
38,blk_5129187689987473771,081109,205737,991,INFO,dfs.DataNode$DataTransfer:,Transmitted
39,blk_-7107304215728057734,081109,205741,992,INFO,dfs.DataNode$DataTransfer:,Transmitted
40,blk_7549574386896151044,081109,205807,999,INFO,dfs.DataNode$DataTransfer:,Transmitted
41,blk_-6748331154068864940,081109,205810,1033,INFO,dfs.DataNode$DataTransfer:,Transmitted
42,blk_93737232069426335,081109,205811,1015,INFO,dfs.DataNode$DataTransfer:,Transmitted
43,blk_5872727231755365998,081109,205818,1019,INFO,dfs.DataNode$DataTransfer:,Transmitted
44,blk_8850105819968430651,081109,205846,1024,INFO,dfs.DataNode$DataTransfer:,Transmitted
45,blk_6520528150528384710,081109,205905,1024,INFO,dfs.DataNode$DataTransfer:,Transmitted
46,blk_9196033909272165480,081109,205905,1054,INFO,dfs.DataNode$DataTransfer:,Transmitted
47,blk_2589739521853512495,081109,205906,1057,INFO,dfs.DataNode$DataTransfer:,Transmitted
48,blk_2391757758397659667,081109,205916,1064,INFO,dfs.DataNode$DataTransfer:,Transmitted
49,blk_-1849327476642808463,081109,205925,1059,INFO,dfs.DataNode$DataTransfer:,Transmitted
50,blk_6363427510808703071,081109,205930,1047,INFO,dfs.DataNode$DataTransfer:,Transmitted
51,blk_-7762039550360402299,081109,205937,1099,INFO,dfs.DataNode$DataTransfer:,Transmitted
52,blk_669454608616241618,081109,205941,1092,INFO,dfs.DataNode$DataTransfer:,Transmitted
53,blk_1481900455537141945,081109,210017,1071,INFO,dfs.DataNode$DataTransfer:,Transmitted
54,blk_4845543104469179835,081109,210022,1081,INFO,dfs.DataNode$DataTransfer:,Transmitted
55,blk_-7585673039855605089,081109,210107,1142,INFO,dfs.DataNode$DataTransfer:,Transmitted
56,blk_-6667438803465136570,081109,210158,1152,INFO,dfs.DataNode$DataTransfer:,Transmitted
57,blk_-6351872879017419405,081109,210247,1157,INFO,dfs.DataNode$DataTransfer:,Transmitted
58,blk_3969850602129867493,081109,210307,1192,INFO,dfs.DataNode$DataTransfer:,Transmitted
59,blk_-7455385476433896629,081109,210518,1272,INFO,dfs.DataNode$DataTransfer:,Transmitted
60,blk_-3688983700621441572,081109,210655,1291,INFO,dfs.DataNode$DataTransfer:,Transmitted
61,blk_-3391420790381323453,081109,210709,1366,INFO,dfs.DataNode$DataTransfer:,Transmitted
62,blk_2784084578095654465,081109,210743,1353,INFO,dfs.DataNode$DataTransfer:,Transmitted
63,blk_3251765155212675925,081109,210815,1386,INFO,dfs.DataNode$DataTransfer:,Transmitted
64,blk_-7276034407817287253,081109,210836,1384,INFO,dfs.DataNode$DataTransfer:,Transmitted
65,blk_-4285500139106037767,081109,210846,1456,INFO,dfs.DataNode$DataTransfer:,Transmitted
66,blk_-1192825953645039677,081109,210909,1428,INFO,dfs.DataNode$DataTransfer:,Transmitted
67,blk_6672131021065206997,081109,210935,1464,INFO,dfs.DataNode$DataTransfer:,Transmitted
68,blk_-796016549069405026,081109,210956,1439,INFO,dfs.DataNode$DataTransfer:,Transmitted
69,blk_-4936991203579918599,081109,211013,1489,INFO,dfs.DataNode$DataTransfer:,Transmitted
70,blk_93783987352198596,081109,211031,1456,INFO,dfs.DataNode$DataTransfer:,Transmitted
71,blk_3024854843111630263,081109,211031,1485,INFO,dfs.DataNode$DataTransfer:,Transmitted
72,blk_-5424098422252438576,081109,211040,1492,INFO,dfs.DataNode$DataTransfer:,Transmitted
73,blk_-3068437940611808289,081109,211042,1483,INFO,dfs.DataNode$DataTransfer:,Transmitted
74,blk_7490751924053338361,081109,211054,1521,INFO,dfs.DataNode$DataTransfer:,Transmitted
75,blk_8473728677587404018,081109,211100,1553,INFO,dfs.DataNode$DataTransfer:,Transmitted
76,blk_7263944332659641248,081109,211103,1443,INFO,dfs.DataNode$DataTransfer:,Transmitted
77,blk_-4072630768970171839,081109,211107,1518,INFO,dfs.DataNode$DataTransfer:,Transmitted
78,blk_-4575504943817626616,081109,211124,1511,INFO,dfs.DataNode$DataTransfer:,Transmitted
79,blk_5412150241328312909,081109,211134,1503,INFO,dfs.DataNode$DataTransfer:,Transmitted
80,blk_-7398458179586194792,081109,211135,1541,INFO,dfs.DataNode$DataTransfer:,Transmitted
81,blk_-3786622355776043781,081109,211201,1526,INFO,dfs.DataNode$DataTransfer:,Transmitted
82,blk_992101295951175683,081109,211204,1543,WARN,dfs.DataNode$DataTransfer:,Failed
83,blk_7503152519879637966,081109,211211,1515,INFO,dfs.DataNode$DataTransfer:,Transmitted
84,blk_-9067309629944611736,081109,211246,1581,INFO,dfs.DataNode$DataTransfer:,Transmitted
85,blk_-8651022183233211370,081109,211347,1584,INFO,dfs.DataNode$DataTransfer:,Transmitted
86,blk_3858821904894294369,081109,211545,1633,INFO,dfs.DataNode$DataTransfer:,Transmitted
87,blk_8907738821052531402,081109,211720,1735,INFO,dfs.DataNode$DataTransfer:,Transmitted
88,blk_-2815730233582629607,081109,211824,1744,INFO,dfs.DataNode$DataTransfer:,Transmitted
89,blk_-6855996938294508606,081109,211829,1761,INFO,dfs.DataNode$DataTransfer:,Transmitted
90,blk_5862064168004546076,081109,211831,1797,WARN,dfs.DataNode$DataTransfer:,Failed
91,blk_7247985612172454700,081109,211841,1811,INFO,dfs.DataNode$DataTransfer:,Transmitted
92,blk_906909961436300670,081109,211845,1765,INFO,dfs.DataNode$DataTransfer:,Transmitted
93,blk_1387162371719476785,081109,211909,1777,INFO,dfs.DataNode$DataTransfer:,Transmitted
94,blk_2749026664373761648,081109,211930,1815,INFO,dfs.DataNode$DataTransfer:,Transmitted
95,blk_-5355008438453668398,081109,211934,1809,INFO,dfs.DataNode$DataTransfer:,Transmitted
96,blk_-1023495876047573307,081109,211948,1844,INFO,dfs.DataNode$DataTransfer:,Transmitted
97,blk_-1549752419809595077,081109,212011,1867,INFO,dfs.DataNode$DataTransfer:,Transmitted
98,blk_6787272778292904665,081109,212041,1886,INFO,dfs.DataNode$DataTransfer:,Transmitted
99,blk_7105231685582449618,081109,212044,1860,INFO,dfs.DataNode$DataTransfer:,Transmitted
100,blk_6827227789958204337,081109,212116,1892,INFO,dfs.DataNode$DataTransfer:,Transmitted
101,blk_-7258855032250455269,081109,212129,1917,INFO,dfs.DataNode$DataTransfer:,Transmitted
102,blk_6270547280647061074,081109,212130,1882,INFO,dfs.DataNode$DataTransfer:,Transmitted
103,blk_-7305833418743191853,081109,212152,1899,INFO,dfs.DataNode$DataTransfer:,Transmitted
104,blk_8962958687853490928,081109,212153,1881,INFO,dfs.DataNode$DataTransfer:,Transmitted
105,blk_-7934205015562514751,081109,212157,1870,INFO,dfs.DataNode$DataTransfer:,Transmitted
106,blk_-5439842411069317338,081109,212201,1956,INFO,dfs.DataNode$DataTransfer:,Transmitted
107,blk_-5902810647818538566,081109,212205,1925,INFO,dfs.DataNode$DataTransfer:,Transmitted
108,blk_-2080228309175894362,081109,212223,1999,INFO,dfs.DataNode$DataTransfer:,Transmitted
109,blk_-4767450795485027771,081109,212303,1937,INFO,dfs.DataNode$DataTransfer:,Transmitted
110,blk_1767067222708303329,081109,212307,1985,INFO,dfs.DataNode$DataTransfer:,Transmitted
111,blk_-800587171426481244,081109,212315,1980,INFO,dfs.DataNode$DataTransfer:,Transmitted
112,blk_2579618578559651295,081109,212328,1998,INFO,dfs.DataNode$DataTransfer:,Transmitted
113,blk_4416950245481923656,081109,212430,2018,INFO,dfs.DataNode$DataTransfer:,Transmitted
114,blk_4669445121891068582,081109,212442,2031,INFO,dfs.DataNode$DataTransfer:,Transmitted
115,blk_-4294151006856860707,081109,212457,2010,INFO,dfs.DataNode$DataTransfer:,Transmitted
116,blk_-5261751311339308488,081109,212504,2051,INFO,dfs.DataNode$DataTransfer:,Transmitted
117,blk_-7780554945385328861,081109,212518,2044,INFO,dfs.DataNode$DataTransfer:,Transmitted
118,blk_282896531640927505,081109,212519,2050,INFO,dfs.DataNode$DataTransfer:,Transmitted
119,blk_8650671644529477649,081109,212519,2068,INFO,dfs.DataNode$DataTransfer:,Transmitted
120,blk_-3853265591005020112,081109,212644,2097,INFO,dfs.DataNode$DataTransfer:,Transmitted
121,blk_5024705187938108448,081109,212729,2144,INFO,dfs.DataNode$DataTransfer:,Transmitted
122,blk_7859032812867403399,081109,212905,2259,INFO,dfs.DataNode$DataTransfer:,Transmitted
123,blk_-3911166476566899551,081109,212950,2223,INFO,dfs.DataNode$DataTransfer:,Transmitted
124,blk_-1794546949623629165,081109,213027,2270,INFO,dfs.DataNode$DataTransfer:,Transmitted
125,blk_-401303441822095974,081109,213102,2237,INFO,dfs.DataNode$DataTransfer:,Transmitted
126,blk_-533570301301432324,081109,213124,2264,INFO,dfs.DataNode$DataTransfer:,Transmitted
127,blk_-186449692016201490,081109,213132,2295,INFO,dfs.DataNode$DataTransfer:,Transmitted
128,blk_-1250033528352378423,081109,213134,2301,INFO,dfs.DataNode$DataTransfer:,Transmitted
129,blk_1549832952118614534,081109,213139,2259,INFO,dfs.DataNode$DataTransfer:,Transmitted
130,blk_866860298680755505,081109,213207,2316,INFO,dfs.DataNode$DataTransfer:,Transmitted
131,blk_-1684438862222855332,081109,213211,2337,INFO,dfs.DataNode$DataTransfer:,Transmitted
132,blk_-8513351748579810786,081109,213220,1990,INFO,dfs.DataNode$DataTransfer:,Transmitted
133,blk_4207153147078127808,081109,213220,2289,INFO,dfs.DataNode$DataTransfer:,Transmitted
134,blk_-1067131609371010449,081109,213222,2324,INFO,dfs.DataNode$DataTransfer:,Transmitted
135,blk_7021207890856924160,081109,213227,2272,INFO,dfs.DataNode$DataTransfer:,Transmitted
136,blk_5911956008415876113,081109,213227,2332,INFO,dfs.DataNode$DataTransfer:,Transmitted
137,blk_-702269656492732525,081109,213233,2323,INFO,dfs.DataNode$DataTransfer:,Transmitted
138,blk_-7085329676079965815,081109,213241,2345,INFO,dfs.DataNode$DataTransfer:,Transmitted
139,blk_5777459062943260062,081109,213247,2381,INFO,dfs.DataNode$DataTransfer:,Transmitted
140,blk_6420805792111309238,081109,213256,2340,INFO,dfs.DataNode$DataTransfer:,Transmitted
141,blk_-4509092526264320136,081109,213303,2316,INFO,dfs.DataNode$DataTransfer:,Transmitted
142,blk_7744384859145599898,081109,213303,2364,INFO,dfs.DataNode$DataTransfer:,Transmitted
143,blk_5121481853214106697,081109,213305,2311,INFO,dfs.DataNode$DataTransfer:,Transmitted
144,blk_-854663917810747963,081109,213313,2319,INFO,dfs.DataNode$DataTransfer:,Transmitted
145,blk_1337459668850938918,081109,213323,2344,INFO,dfs.DataNode$DataTransfer:,Transmitted
146,blk_-8518252107131849129,081109,213323,2347,INFO,dfs.DataNode$DataTransfer:,Transmitted
147,blk_-3174232733041654340,081109,213323,2375,INFO,dfs.DataNode$DataTransfer:,Transmitted
148,blk_-2710979271972492726,081109,213328,2414,INFO,dfs.DataNode$DataTransfer:,Transmitted
149,blk_-4040863241248121643,081109,213340,2388,INFO,dfs.DataNode$DataTransfer:,Transmitted
150,blk_-2414041746483038993,081109,213340,2392,INFO,dfs.DataNode$DataTransfer:,Transmitted
151,blk_-6669848110381513005,081109,213356,2340,INFO,dfs.DataNode$DataTransfer:,Transmitted
152,blk_7305641089115984602,081109,213356,2385,INFO,dfs.DataNode$DataTransfer:,Transmitted
153,blk_-6467009160056916452,081109,213401,2378,INFO,dfs.DataNode$DataTransfer:,Transmitted
154,blk_7059886816103812130,081109,213409,2343,INFO,dfs.DataNode$DataTransfer:,Transmitted
155,blk_7175945677757046854,081109,213409,2384,INFO,dfs.DataNode$DataTransfer:,Transmitted
156,blk_4589774882056031943,081109,213425,2430,INFO,dfs.DataNode$DataTransfer:,Transmitted
157,blk_340854666767346657,081109,213427,2372,INFO,dfs.DataNode$DataTransfer:,Transmitted
158,blk_2018472970914441524,081109,213435,2442,INFO,dfs.DataNode$DataTransfer:,Transmitted
159,blk_9072125597345387464,081109,213440,2271,INFO,dfs.DataNode$DataTransfer:,Transmitted
160,blk_-1580355750125402070,081109,213445,2410,INFO,dfs.DataNode$DataTransfer:,Transmitted
161,blk_3050134249169418639,081109,213457,2386,INFO,dfs.DataNode$DataTransfer:,Transmitted
162,blk_-751550579877771003,081109,213457,2413,INFO,dfs.DataNode$DataTransfer:,Transmitted
163,blk_-8252882625604508946,081109,213506,2363,INFO,dfs.DataNode$DataTransfer:,Transmitted
164,blk_5355549571447638834,081109,213529,2530,INFO,dfs.DataNode$DataTransfer:,Transmitted
165,blk_-3945236748777429958,081109,213532,2464,INFO,dfs.DataNode$DataTransfer:,Transmitted
166,blk_-2950663887493455200,081109,213547,2453,INFO,dfs.DataNode$DataTransfer:,Transmitted
