,block_id,first_digits,second_digits,third_digits,message,event_type
0,blk_-1608999687919862906,081109,203521,19,INFO,dfs.DataNode:
1,blk_-1608999687919862906,081109,203526,19,INFO,dfs.DataNode:
2,blk_-1608999687919862906,081109,203527,19,INFO,dfs.DataNode:
3,blk_-1608999687919862906,081109,203531,19,INFO,dfs.DataNode:
4,blk_-8213344449220111733,081109,204521,19,INFO,dfs.DataNode:
5,blk_-6899869435641005946,081109,204556,18,INFO,dfs.DataNode:
6,blk_-8191677345482862686,081109,204558,19,INFO,dfs.DataNode:
7,blk_-919439116365725304,081109,204600,19,INFO,dfs.DataNode:
8,blk_3584224065406961324,081109,204618,19,INFO,dfs.DataNode:
9,blk_-7057732666118938934,081109,204618,19,INFO,dfs.DataNode:
10,blk_349284099419601276,081109,204620,19,INFO,dfs.DataNode:
11,blk_3557914126063085372,081109,204620,19,INFO,dfs.DataNode:
12,blk_-6739860488313725269,081109,204622,19,INFO,dfs.DataNode:
13,blk_-5410886886439711883,081109,204626,19,INFO,dfs.DataNode:
14,blk_-1597249921068575545,081109,204640,19,INFO,dfs.DataNode:
15,blk_-4304326910587241051,081109,204641,19,INFO,dfs.DataNode:
16,blk_5647191344005583177,081109,204643,19,INFO,dfs.DataNode:
17,blk_216026994465296073,081109,204650,19,INFO,dfs.DataNode:
18,blk_5836709889176378774,081109,204656,19,INFO,dfs.DataNode:
19,blk_-1552272238828007233,081109,204659,19,INFO,dfs.DataNode:
20,blk_-730360888507267446,081109,204708,19,INFO,dfs.DataNode:
21,blk_7536693147882198965,081109,204735,19,INFO,dfs.DataNode:
22,blk_3057845822257859655,081109,204737,19,INFO,dfs.DataNode:
23,blk_-1946694783635652405,081109,204801,18,INFO,dfs.DataNode:
24,blk_2260576740749849268,081109,204816,19,INFO,dfs.DataNode:
25,blk_-963887220294303910,081109,204835,19,INFO,dfs.DataNode:
26,blk_1177055878155131978,081109,204855,18,INFO,dfs.DataNode:
27,blk_-6978860414285661081,081109,204932,19,INFO,dfs.DataNode:
28,blk_4624916250773145759,081109,205005,19,INFO,dfs.DataNode:
29,blk_101531001839995775,081109,205155,19,INFO,dfs.DataNode:
30,blk_4241467193520768333,081109,205213,19,INFO,dfs.DataNode:
31,blk_8083837084595537307,081109,205619,19,INFO,dfs.DataNode:
32,blk_5284512076658274222,081109,205655,19,INFO,dfs.DataNode:
33,blk_109564252861405473,081109,205702,19,INFO,dfs.DataNode:
34,blk_-3810637406843178536,081109,205704,19,INFO,dfs.DataNode:
35,blk_1873255094910695255,081109,205713,19,INFO,dfs.DataNode:
36,blk_3534268014746215164,081109,205715,19,INFO,dfs.DataNode:
37,blk_-7593343514267572796,081109,205720,19,INFO,dfs.DataNode:
38,blk_5129187689987473771,081109,205722,19,INFO,dfs.DataNode:
39,blk_-7107304215728057734,081109,205739,19,INFO,dfs.DataNode:
40,blk_7549574386896151044,081109,205803,19,INFO,dfs.DataNode:
41,blk_-6748331154068864940,081109,205808,19,INFO,dfs.DataNode:
42,blk_93737232069426335,081109,205809,19,INFO,dfs.DataNode:
43,blk_5872727231755365998,081109,205816,19,INFO,dfs.DataNode:
44,blk_8850105819968430651,081109,205844,19,INFO,dfs.DataNode:
45,blk_9196033909272165480,081109,205902,19,INFO,dfs.DataNode:
46,blk_6520528150528384710,081109,205904,19,INFO,dfs.DataNode:
47,blk_2589739521853512495,081109,205905,18,INFO,dfs.DataNode:
48,blk_2391757758397659667,081109,205914,19,INFO,dfs.DataNode:
49,blk_-1849327476642808463,081109,205925,19,INFO,dfs.DataNode:
50,blk_6363427510808703071,081109,205928,19,INFO,dfs.DataNode:
51,blk_-7762039550360402299,081109,205935,19,INFO,dfs.DataNode:
52,blk_669454608616241618,081109,205939,19,INFO,dfs.DataNode:
53,blk_1481900455537141945,081109,210014,18,INFO,dfs.DataNode:
54,blk_4845543104469179835,081109,210021,19,INFO,dfs.DataNode:
55,blk_-7585673039855605089,081109,210107,19,INFO,dfs.DataNode:
56,blk_-6667438803465136570,081109,210157,19,INFO,dfs.DataNode:
57,blk_-6351872879017419405,081109,210245,19,INFO,dfs.DataNode:
58,blk_3969850602129867493,081109,210305,19,INFO,dfs.DataNode:
59,blk_-7455385476433896629,081109,210517,19,INFO,dfs.DataNode:
60,blk_-3688983700621441572,081109,210653,19,INFO,dfs.DataNode:
61,blk_-3391420790381323453,081109,210708,19,INFO,dfs.DataNode:
62,blk_2784084578095654465,081109,210741,19,INFO,dfs.DataNode:
63,blk_3251765155212675925,081109,210814,19,INFO,dfs.DataNode:
64,blk_-7276034407817287253,081109,210835,19,INFO,dfs.DataNode:
65,blk_-4285500139106037767,081109,210845,19,INFO,dfs.DataNode:
66,blk_-1192825953645039677,081109,210909,19,INFO,dfs.DataNode:
67,blk_6672131021065206997,081109,210934,19,INFO,dfs.DataNode:
68,blk_-796016549069405026,081109,210955,19,INFO,dfs.DataNode:
69,blk_-4936991203579918599,081109,211011,19,INFO,dfs.DataNode:
70,blk_93783987352198596,081109,211014,18,INFO,dfs.DataNode:
71,blk_3024854843111630263,081109,211028,19,INFO,dfs.DataNode:
72,blk_-5424098422252438576,081109,211039,19,INFO,dfs.DataNode:
73,blk_-3068437940611808289,081109,211040,19,INFO,dfs.DataNode:
74,blk_7490751924053338361,081109,211054,18,INFO,dfs.DataNode:
75,blk_8473728677587404018,081109,211057,18,INFO,dfs.DataNode:
76,blk_7263944332659641248,081109,211058,19,INFO,dfs.DataNode:
77,blk_-4072630768970171839,081109,211107,19,INFO,dfs.DataNode:
78,blk_-4575504943817626616,081109,211123,19,INFO,dfs.DataNode:
79,blk_5412150241328312909,081109,211127,19,INFO,dfs.DataNode:
80,blk_-7398458179586194792,081109,211132,19,INFO,dfs.DataNode:
81,blk_-3786622355776043781,081109,211158,19,INFO,dfs.DataNode:
82,blk_992101295951175683,081109,211203,19,INFO,dfs.DataNode:
