,block_id,first_digits,second_digits,third_digits,message,event_type,cerj
0,blk_-3842070622043972712,081109,204530,526,INFO,dfs.DataNode$BlockReceiver:,Receiving
1,blk_-3842070622043972712,081109,204530,536,INFO,dfs.DataNode$BlockReceiver:,Receiving
2,blk_-3842070622043972712,081109,204530,543,INFO,dfs.DataNode$BlockReceiver:,Receiving
3,blk_7621437832633701631,081109,204553,525,INFO,dfs.DataNode$BlockReceiver:,Receiving
4,blk_7621437832633701631,081109,204553,532,INFO,dfs.DataNode$BlockReceiver:,Receiving
5,blk_7621437832633701631,081109,204553,552,INFO,dfs.DataNode$BlockReceiver:,Receiving
6,blk_-2662417398193586275,081109,204603,529,INFO,dfs.DataNode$BlockReceiver:,Receiving
7,blk_-2662417398193586275,081109,204603,535,INFO,dfs.DataNode$BlockReceiver:,Receiving
8,blk_-2662417398193586275,081109,204603,564,INFO,dfs.DataNode$BlockReceiver:,Receiving
9,blk_-5462418187886984774,081109,204646,570,INFO,dfs.DataNode$BlockReceiver:,Receiving
10,blk_-5462418187886984774,081109,204646,602,INFO,dfs.DataNode$BlockReceiver:,Receiving
11,blk_-5462418187886984774,081109,204647,582,INFO,dfs.DataNode$BlockReceiver:,Receiving
12,blk_-6807617704355293530,081109,204708,567,INFO,dfs.DataNode$BlockReceiver:,Receiving
13,blk_-6807617704355293530,081109,204709,593,INFO,dfs.DataNode$BlockReceiver:,Receiving
14,blk_-6807617704355293530,081109,204709,603,INFO,dfs.DataNode$BlockReceiver:,Receiving
15,blk_7233483060617031024,081109,204718,597,INFO,dfs.DataNode$BlockReceiver:,Receiving
16,blk_7233483060617031024,081109,204718,611,INFO,dfs.DataNode$BlockReceiver:,Receiving
17,blk_7233483060617031024,081109,204719,623,INFO,dfs.DataNode$BlockReceiver:,Receiving
18,blk_348548634648842426,081109,204726,577,INFO,dfs.DataNode$BlockReceiver:,Receiving
19,blk_348548634648842426,081109,204726,600,INFO,dfs.DataNode$BlockReceiver:,Receiving
20,blk_348548634648842426,081109,204726,603,INFO,dfs.DataNode$BlockReceiver:,Receiving
21,blk_-3102267849859399193,081109,204731,148,INFO,dfs.DataNode$BlockReceiver:,java.io.IOException:
22,blk_8993243400688409735,081109,204757,608,INFO,dfs.DataNode$BlockReceiver:,Receiving
23,blk_8993243400688409735,081109,204757,634,INFO,dfs.DataNode$BlockReceiver:,Receiving
24,blk_8993243400688409735,081109,204757,642,INFO,dfs.DataNode$BlockReceiver:,Receiving
25,blk_-39871031604524370,081109,205020,689,INFO,dfs.DataNode$BlockReceiver:,Receiving
26,blk_-39871031604524370,081109,205020,697,INFO,dfs.DataNode$BlockReceiver:,Receiving
27,blk_-39871031604524370,081109,205020,703,INFO,dfs.DataNode$BlockReceiver:,Receiving
28,blk_4241467193520768333,081109,205148,590,INFO,dfs.DataNode$BlockReceiver:,java.io.IOException:
29,blk_4241467193520768333,081109,205148,639,INFO,dfs.DataNode$BlockReceiver:,java.io.IOException:
30,blk_4241467193520768333,081109,205149,629,INFO,dfs.DataNode$BlockReceiver:,java.io.EOFException
31,blk_4241467193520768333,081109,205149,750,INFO,dfs.DataNode$BlockReceiver:,Changing
32,blk_4241467193520768333,081109,205149,751,INFO,dfs.DataNode$BlockReceiver:,Changing
33,blk_1528078116812077719,081109,205627,784,INFO,dfs.DataNode$BlockReceiver:,java.io.IOException:
34,blk_7004525668496279572,081109,205711,944,INFO,dfs.DataNode$BlockReceiver:,Receiving
35,blk_7004525668496279572,081109,205711,969,INFO,dfs.DataNode$BlockReceiver:,Receiving
36,blk_7004525668496279572,081109,205711,985,INFO,dfs.DataNode$BlockReceiver:,Receiving
37,blk_-7915100391904353895,081109,205729,1015,INFO,dfs.DataNode$BlockReceiver:,Receiving
38,blk_-7915100391904353895,081109,205729,970,INFO,dfs.DataNode$BlockReceiver:,Receiving
39,blk_-7915100391904353895,081109,205729,990,INFO,dfs.DataNode$BlockReceiver:,Receiving
40,blk_-7107304215728057734,081109,205737,1007,INFO,dfs.DataNode$BlockReceiver:,Receiving
41,blk_-7107304215728057734,081109,205737,986,INFO,dfs.DataNode$BlockReceiver:,Receiving
42,blk_-7107304215728057734,081109,205737,986,INFO,dfs.DataNode$BlockReceiver:,Receiving
43,blk_4886816749578510073,081109,205754,1018,INFO,dfs.DataNode$BlockReceiver:,Receiving
44,blk_4886816749578510073,081109,205754,996,INFO,dfs.DataNode$BlockReceiver:,Receiving
45,blk_4886816749578510073,081109,205754,999,INFO,dfs.DataNode$BlockReceiver:,Receiving
46,blk_315685952352619727,081109,205817,1021,INFO,dfs.DataNode$BlockReceiver:,Receiving
47,blk_3696334728148948171,081109,205818,1006,INFO,dfs.DataNode$BlockReceiver:,Receiving
48,blk_3696334728148948171,081109,205818,1011,INFO,dfs.DataNode$BlockReceiver:,Receiving
49,blk_315685952352619727,081109,205818,1041,INFO,dfs.DataNode$BlockReceiver:,Receiving
50,blk_315685952352619727,081109,205818,1043,INFO,dfs.DataNode$BlockReceiver:,Receiving
51,blk_3696334728148948171,081109,205818,1048,INFO,dfs.DataNode$BlockReceiver:,Receiving
52,blk_3679778751499479168,081109,205857,1038,INFO,dfs.DataNode$BlockReceiver:,Receiving
